"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","48.29","48.49","47.71","47.70","48.00","-","0.30","0.63","8,70,469","4.17","47.51","55.25","39.24",-10.86,"-","-","16-Oct-2024"
"MOMOMENTUM","Nifty 200 Momentum 30 Total Return Index","68.36","68.36","66.40","67.53","67.95","-","0.42","0.62","2,10,080","1.41","66.86","78.50","47.15",-11.79,"16-Nov-2023","37.60","16-Oct-2024"
"MIDCAPIETF","Nifty Midcap 150","20.71","20.84","20.64","20.71","20.83","-","0.12","0.58","6,06,145","1.26","20.53","23.70","15.69",-8.57,"-","-","16-Oct-2024"
"GSEC10ABSL","CRISIL 10 Year Gilt ETF","101.80","102.45","101.80","101.90","102.45","-","0.55","0.54","3","-","102.00","119.76","99.80",0.1,"-","-","16-Oct-2024"
"SETFNIFBK","Nifty Bank","514.24","515.23","509.24","509.25","511.79","-","2.54","0.50","19,087","0.98","509.81","554.30","437.75",-2.93,"16-Nov-2023","14.51","16-Oct-2024"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","20.52","20.53","20.11","20.28","20.38","-","0.10","0.49","12,89,438","2.63","20.26","23.20","15.30",-9.16,"16-Nov-2023","29.80","16-Oct-2024"
"SBIETFCON","Nifty India Consumption Index","116.70","116.70","113.00","113.32","113.83","-","0.51","0.45","7,522","0.09","113.14","136.00","86.23",-10.6,"16-Nov-2023","28.26","16-Oct-2024"
"UTIBANKETF","Nifty Bank","52.18","52.18","51.14","51.58","51.80","-","0.22","0.43","7,09,030","3.65","51.30","55.96","41.00",-2.83,"16-Nov-2023","14.98","16-Oct-2024"
"CONS","Kotak Nifty India Consumption ETF","112.56","113.24","112.00","112.55","113.03","-","0.48","0.43","3,584","0.04","112.40","155.70","86.44",-10.41,"-","-","16-Oct-2024"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index","12.50","12.50","12.10","12.13","12.18","-","0.05","0.41","79,373","0.10","12.19","14.00","9.50",0.58,"16-Nov-2023","7.70","16-Oct-2024"
"MASPTOP50","S&P 500 Top 50 Total Return Index","50.36","51.45","47.33","49.60","49.80","-","0.20","0.40","5,08,651","2.50","46.93","56.30","33.01",9.59,"16-Nov-2023","46.34","16-Oct-2024"
"BANKBEES","Nifty Bank","518.98","519.96","513.80","515.05","517.06","-","2.01","0.39","5,51,641","28.51","514.10","558.78","441.54",-2.92,"16-Nov-2023","14.64","16-Oct-2024"
"MID150BEES","Nifty Midcap 150 TRI","209.99","209.99","200.50","206.70","207.51","-","0.81","0.39","3,99,822","8.29","205.46","235.65","154.95",-8.74,"16-Nov-2023","30.28","16-Oct-2024"
"TECH","Nifty IT TRI Index","45.03","45.03","44.07","44.40","44.57","-","0.17","0.38","11,041","0.05","44.45","49.00","31.81",0.79,"16-Nov-2023","33.83","16-Oct-2024"
"NV20","Nifty50 Value 20","157.89","157.89","153.34","155.43","155.98","-","0.55","0.35","3,45,480","5.34","154.59","169.00","131.11",-4.69,"-","-","16-Oct-2024"
"SBIETFPB","Nifty Private Bank Index","249.63","251.00","247.04","249.63","250.50","-","0.87","0.35","7,537","0.19","248.77","277.20","226.25",-4.62,"16-Nov-2023","7.69","16-Oct-2024"
